Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

18:12:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:12:09     all    0,10    0,03    0,18    0,00    0,00    0,00    0,00    0,00    0,00   99,70
18:12:09       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:12:09       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:12:09       2    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
18:12:09       3    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
18:12:09       4    0,40    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,60
18:12:09       5    0,00    0,20    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,60
18:12:09       6    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
18:12:09       7    0,40    0,00    0,60    0,00    0,00    0,00    0,00    0,00    0,00   99,00

Среднее:  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Среднее:  all    0,10    0,03    0,18    0,00    0,00    0,00    0,00    0,00    0,00   99,70
Среднее:    0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Среднее:    2    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
Среднее:    3    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
Среднее:    4    0,40    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,60
Среднее:    5    0,00    0,20    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,60
Среднее:    6    0,00    0,00    0,20    0,00    0,00    0,00    0,00    0,00    0,00   99,80
Среднее:    7    0,40    0,00    0,60    0,00    0,00    0,00    0,00    0,00    0,00   99,00
