Linux 6.8.0-90-generic (theredhothabanero) 	14.12.2025 	_x86_64_	(8 CPU)

17:38:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:12     all    1,58    0,00    0,63    0,32    0,00    0,06    0,00    0,00    0,00   97,41
17:38:12       0    1,01    0,00    1,01    0,00    0,00    0,51    0,00    0,00    0,00   97,47
17:38:12       1    1,01    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,48
17:38:12       2    4,55    0,00    0,51    0,51    0,00    0,00    0,00    0,00    0,00   94,44
17:38:12       3    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
17:38:12       4    1,52    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,46
17:38:12       5    0,50    0,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00   97,50
17:38:12       6    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
17:38:12       7    1,52    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   97,46

17:38:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:14     all    1,45    0,00    0,69    1,26    0,00    0,19    0,00    0,00    0,00   96,41
17:38:14       0    0,00    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   99,49
17:38:14       1    3,02    0,00    1,51    0,00    0,00    0,00    0,00    0,00    0,00   95,48
17:38:14       2    2,51    0,00    1,01    0,50    0,00    0,50    0,00    0,00    0,00   95,48
17:38:14       3    0,51    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,99
17:38:14       4    3,03    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   96,46
17:38:14       5    0,50    0,00    0,50    9,05    0,00    0,00    0,00    0,00    0,00   89,95
17:38:14       6    2,03    0,00    0,51    0,00    0,00    0,51    0,00    0,00    0,00   96,95
17:38:14       7    0,00    0,00    0,50    0,50    0,00    0,50    0,00    0,00    0,00   98,50

17:38:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:38:16     all    1,14    0,00    0,63    0,95    0,00    0,00    0,00    0,00    0,00   97,28
17:38:16       0    0,00    0,00    0,51    2,02    0,00    0,00    0,00    0,00    0,00   97,47
17:38:16       1    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
17:38:16       2    2,55    0,00    0,51    1,02    0,00    0,00    0,00    0,00    0,00   95,92
17:38:16       3    1,51    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,49
17:38:16       4    0,51    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   98,98
17:38:16       5    2,53    0,00    1,01    4,04    0,00    0,00    0,00    0,00    0,00   92,42
17:38:16       6    1,52    0,00    1,02    0,51    0,00    0,00    0,00    0,00    0,00   96,95
