procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 875496 5336544   6988 149664 1077 1311  4718  1353  853  884  3  7 88  2  0
 0  0 875496 5336624   6988 149796    8    0     8    20  390  209  0  0 100  0  0
 0  0 875496 5336400   6996 149788    8    0     8    20  262  167  0  0 100  0  0
 1  0 875496 5336560   7000 149864   12    0    48    16  315  187  0  0 100  0  0
 0  0 875496 5336400   7000 149864    4    0     4     0  295  183  0  0 100  0  0
 0  1 875496 5336400   7004 149864    6    0     6    22  272  155  0  0 100  0  0
 0  0 875496 5336400   7008 149868   18    0    18    10  284  178  0  0 100  0  0
 0  0 875496 5336432   7008 149868    8    0     8     0  243  148  0  0 100  0  0
 0  0 875496 5336208   7016 149868    0    0     0    12  199  113  0  0 100  0  0
 0  0 875496 5336208   7016 149868    0    0     0     6  187   94  0  0 100  0  0
 0  0 875496 5336336   7016 149956   96    0   138     0  211  152  0  0 100  0  0
 0  0 875240 5336336   7024 149948   12    0    12    12  214  146  0  0 100  0  0
 0  0 875240 5336336   7024 149956    0    0     0     8  183  107  0  0 100  0  0
 0  0 874984 5336176   7024 149956    8    0     8     0  169  101  0  0 100  0  0
 0  0 874984 5336176   7032 149960    0    0     0    12  173  107  0  0 100  0  0
 1  0 874984 5336176   7032 149960    0    0     0     8  188  103  0  0 100  0  0
 0  0 874984 5336208   7032 149960    6    0     6     0  191  118  0  0 100  0  0
 0  0 874984 5336208   7040 149960    0    0     0    16  179  102  0  0 100  0  0
 0  0 874984 5336208   7044 149964    0    0     0     8  186  103  0  0 100  0  0
 0  0 874984 5336208   7044 149964    0    0     0     0  177   96  0  0 100  0  0
 0  0 874984 5336208   7052 149964    0    0     0    22  188  110  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 874984 5336208   7052 149964    0    0     0     6  162   88  0  0 100  0  0
 0  0 874984 5335984   7052 149964    4    0     4     0  202  115  0  0 100  0  0
 0  0 874984 5335984   7060 149968    0    0     0    18  179  107  0  0 100  0  0
 0  0 874984 5336016   7060 149968    0    0     0     8  181  102  0  0 100  0  0
 0  0 874984 5335792   7060 149968    0    0     0     0  169   98  0  0 100  0  0
 0  0 874984 5335792   7068 149960    0    0     0    14  176  109  0  0 100  0  0
 0  0 874984 5335792   7072 149972    0    0     2     8  166   94  0  0 100  0  0
 0  0 874984 5335824   7072 149972    0    0     0     0  172   97  0  0 100  0  0
 0  0 874984 5335600   7080 149964   20    0    20    18  189  112  0  0 100  0  0
 0  0 874984 5335600   7080 149972    0    0     0     6  184  112  0  0 100  0  0
 0  0 874984 5335632   7080 149976   56    0    56     0  219  136  0  0 100  0  0
 0  0 874984 5335632   7088 149976    0    0     0    14  176  110  0  0 100  0  0
 0  0 874984 5335632   7088 149976    0    0     0     8  168   90  0  0 100  0  0
 0  0 874984 5335632   7088 149980    4    0     4     0  193  115  0  0 100  0  0
 0  0 874728 5335192   7096 151532  154    0   972    14  280  208  0  0 100  0  0
 0  0 874728 5334968   7096 151616    6    0     6     8  215  146  0  0 100  0  0
 0  0 874728 5334716   7096 151616   10    0    10     0  195  120  0  0 100  0  0
